mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
name of the author of the section relating to palai in ai kuu nuu,  ஓதலாந்தையார், 
sea as a great flood,  ஓதலாந்தையார், 
downy-foliaged cutch,  ஓதனை, 
black akasia,  ஓதனை, 
separation of a hero from his beloved,  ஓதற்பிரிவு, 
when he goes abroad for studies,  ஓதற்பிரிவு, 
moral preacher,  ஓதாளன், 
spiritual perception,  ஓதி, 
learned person,  கற்பன்// சதுரர், ஓதி, பாரதி/ வேதி/ கல்விமான், 
one who recites the veda and sastras,  ஓதி, 
close attack in battle,  ஓதி, 
making one recite,  ஓதி, 
educate,  ஓதி/ கற்பி, பயிற்றுவி// சொல்லிக்கொடு/ கல்வியூட்டு, 
swan shaped pendent lamp,  ஓதிமவிளக்கு, 
swan-shaped pendent lamp,  ஓதிமவிளக்கு, 
person who has the right to sing Saiva devotional hymns in a temple,  ஓதுவார், 
saiva velalas appointed to recite sacred tamil hymns in saiva temples and monasteries,  ஓதுவார், 
students of devotional and theological works,  ஓதுவார், 
garden liz,  ஓந்தி, 
wolf,  கோநாய், ஓநாய்// சனாசனம், தோண்டான், அரணியயசுவன்/ வாகரம்/ குடத்தி;- இசைப்பொருந்தா ஒலி, 
indian wolf,  ஓநாய்/ கோனாய்/ கோணாய், தோலா, 
canis pallipes,  ஓநாய், 
part particle of comparison,  ஓபாதி, 
ohm,  மின்தடை அலகு, ஓம், 
mantra considered most sacred by Hindus,  ஓம், 
beg,  வேண்டிக் கேள், பணிந்து கேள், பிச்சை கேள், ஓம், 
ending of the first pers pl,  ஓம், 
mystic name of the deity,  ஓம், 
preceding all the mantras of worship,  ஓம், 
writings,  ஓம், 
the expression of affirmation or of consent,  ஓம், 
mysic syllable,  ஓம், 
to express assent,  ஒம்படு, 
to confirm,  ஒம்படு, தெருட்டு, தாணி, 
place of protection,  ஓம்படை, 
place where religious instruction is imparted,  ஓம்படை, 
keeping in mind,  ஓம்படை, 
retaining in memory,  ஓம்படை, 
place where reli gious instruction is imparted,  ஓம்படை, 
entrustment of the heroine to her lover by her companion for protection,  ஓம்படைக்கிளவி, 
sage adivice given by wise men,  ஓம்படைக்கிளவி, 
sage advice given by wise men,  ஓம்படைக்கிளவி, 
defend save,  ஓம்பு, 
to keep off,  துமி, ஓம்பு, 
discriminate,  ஒம்பு, பாகுபடுத்து, பரி/ வேறுபடுத்து, பிரித்துணர், 
to conce ntrate the mind,  ஒம்பு, 
to clutch or grasp tightly,  ஒம்பு, 
as a miser,  ஒம்பு, 
essence of oman,  ஓமநீரம், 
a deep fried snack in the form of broken noodles made by pressing chickpea batter through a perforated ladle or press,  ஓமப்பொடி, 
omam confectionery,  ஓமப்பொடி, 
fashioned like vermicelli,  ஓமப்பொடி, 
medicinal omam powder,  ஓமப்பொடி, 
sacred ashed,  ஓமப்பொடி, 
dill seeds,  ஓமம், 
ajowan,  ஓமம், 
ajwain,  ஓமம், 
biships weed,  ஓமம், 
carum copticum,  பரியசம், அக்கினிவர்த்தனம், ஓமம், 
offering an oblation to the gods by pouring ghee,  ஓமம், 
into the consecrated fire,  ஓமம், 
bruit,  ஓமல்: மாறுதுடிப்பொலி, 
to rise as smoke,  ஓமல், 
as a rumour,  ஓமலிப்பு, 
fragrant substances put in water used for drinking and bathing,  ஓமாலிகை, 
fragrant substances put in water used for drinking and bathing of which those are,  ஓமாலிகை, 
used in imprecation,  ஓமிடி; நாசமற்றுப்போவான், 
o ruin,  ஓமிடி, 
uga tree,  ஓமை, 
come to i,  ஓய், 
get exhau,  ஓய், 
ceas,  வி, ஓய், 
to become small,  ஓய், 
hallo an int used in calling attention,  ஓய், 
utter lack of rest or breathing time,  ஒய்ச்சலொழிச்சலில்லாமை, 
name of a family of petty chiefs of whom nalliya k ktan,  ஓய்மான், 
the hero of ciu pan au p patai,  ஓய்மான், 
was one,  ஓய்மான், 
name of a dynasty,  ஓய்மான், 
a small tract of country in tamil akam situated about tindivanam,  ஓய்மானாடு, 
small tract of country in tamil-agam situated about,  ஓய்மானாடு, 
retirement,  ஓய்வுறுதல்/ வேலையினின்று ஓய்வு பெறல், ஓய்வு பெறல், ஓய்வு, பணி ஓய்வு, ஓய்வுகொடுத்தல், தனிமை, பெறுதல், ஏகாந்தம், ஓய்வமைவு/ விடுதலை, பணிநிறைவு, பணி நிறைவு, பணிஓய்வு, ஓய்வுபெறுதல், 
