அக்கினிக்கபம்,கடல்நுரை.,13, [ akkiṉikkapam ]
அக்கினிக்கர்ப்பம்,அக்கினிக்கருப்பம்.,13, [ akkiṉikkarppam ]
அக்கினிசகன்,காற்று.,13, [ akkiṉicakaṉ ]
அக்கினிசகாயன்,காற்று.,13, [ akkiṉicakāyaṉ ]
அக்கினிசயனம்,ஓமாக்கினிவளர்த்தல்.,13, [ akkiṉicayaṉam ]
அக்கினிசாந்தி,ஓமம்.,13, [ akkiṉicānti ]
அக்கினிசாலம்,"ஒரு பூடு, நெருப்புச் சாலம்.",13, [ akkiṉicālam ]
அக்கினிசிகம்,"அம்பு,வானம்,விளக்கு",13, [ akkiṉicikam ]
அக்கினிச்சிலம்,கார்த்திகைக்கிழங்கு,13, [ akkiṉiccilam ]
அக்கினிச்சிவம்,குப்பைமேனி.,13, [ akkiṉiccivam ]
அக்கினிச்சுவாலை,"தீக்கொழுந்து, ஒரு பூண்டு.",13, [ akkiṉiccuvālai ]
அக்கினிதாரணம்,ஓமாக்கினி வளர்த்தல்.,14, [ akkiṉitāraṇam ]
அக்கினிதேவன்,அக்கினிதேவதை.,14, [ akkiṉitēvaṉ ]
அக்கினித்தம்பன்,சிவன்.,14, [ akkiṉittampaṉ ]
அக்கினித்திராவகம்,ஒருதிராவகநீர்.,14, [ akkiṉittirāvakam ]
அக்கினித்திரேதை,திரியாக்கினி.,14, [ akkiṉittirētai ]
அக்கினித்தூண்,தீப்பிழம்பு.,14, [ akkiṉittūṇ ]
அக்கினிநாள்,கொடியநாள்.,14, [ akkiṉināḷ ]
அக்கினிபம்,பொன்.,14, [ akkiṉipam ]
அக்கினிபரிச்சதம்,ஓமோபகரணம்.,14, [ akkiṉipariccatam ]
அக்கினிபரித்தியாகம்,அக்கினியிலேஓமஞ்செய்யாதொழிதல்.,14, [ akkiṉiparittiyākam ]
அக்கினிபீசம்,பொன்.,14, [ akkiṉipīcam ]
அக்கினிபு,கந்தக்கடவுள்.,14, [ akkiṉipu ]
அக்கினிபுக்கு,ஒருமுனிவன்.,14, [ akkiṉipukku ]
அக்கினிபூ,"அக்கினிசன்மன், நீர்.",14, [ akkiṉipū ]
அக்கினிபோஷணம்,வைசுவ தேவபூசை.,14, [ akkiṉipōṣaṇam ]
அக்கினிப்பிரத்தரம்,சூரியகாந்த தீக்கல்.,14, [ akkiṉippirattaram ]
அக்கினிப்பிழம்பு,நெருப்புச்சுவாலை.,14, [ akkiṉippiẕampu ]
அக்கினிபிளப்பு,எரிமலை.,14, [ akkiṉipiḷappu ]
அக்கினிமணி,சூரியகாந்தம்.,14, [ akkiṉimaṇi ]
அக்கினிமந்தசுரம்,சுரநோய் வகைகளுள் ஒன்று.,14, [ akkiṉimantacuram ]
அக்கினிமந்தம்,"கோங்கமரம், சமியாமை.",14, [ akkiṉimantam ]
அக்கினிமாந்தம்,ஒருநோய்.,14, [ akkiṉimāntam ]
அக்கினிமாந்தியம்,"அசீரணம், செரியாமை.",14, [ akkiṉimāntiyam ]
அக்கினிமாருதி,அகத்தியன்.,14, [ akkiṉimāruti ]
அக்கினிமுகம்,சேங்கோட்டை.,14, [ akkiṉimukam ]
அக்கினிமூலை,தென்கிழக்குமூலை.,14, [ akkiṉimūlai ]
அக்கினியத்திரம்,அக்கினிமயமானஅம்பு.,14, [ akkiṉiyattiram ]
அக்கினியாகாரம்,ஓமசாலை.,14, [ akkiṉiyākāram ]
அக்கினியாலயம்,அக்கினியாகாரம்.,14, [ akkiṉiyālayam ]
அக்கினியின் கோபம்,பித்தம்.,14, [ akkiṉiyiṉ கோபம் ]
அக்கினிலிங்கம்,புகை.,15, [ akkiṉilingkam ]
அக்கினிவல்லபம்,"குங்கிலியம், கீல்.",15, [ akkiṉivallapam ]
அக்கினிவிசர்ப்பம்,விரணக்கொதி.,15, [ akkiṉivicarppam ]
அக்கினிவீசம்,பொன்.,15, [ akkiṉivīcam ]
அக்கினிவீரியம்,அக்கினியின்வீரம்.,15, [ akkiṉivīriyam ]
அக்குமணி,சங்குமணி.,15, [ akkumaṇi ]
அககுரு,விரல்.,15, [ akakuru ]
அககுருக்கி,சயரோகம்.,15, [ akakurukki ]
அக்குளு,அக்குளுத்தல்.,15, [ akkuḷu ]
அக்கோ,"ஒரு அதிசயச்சொல்,இரக்கச்சொல்.",15, [ akkō ]
அக்கோகிணி,அக்குரோணி.,16, [ akkōkiṇi ]
அக்கோணி,அக்குரோணி.,16, [ akkōṇi ]
அக்கௌகிணி,ஆக்குரோணி.,16, [ akkaukiṇi ]
அக்ரகாரம்,அக்கிரகாரம்.,16, [ akrakāram ]
அங்ககீனம்,உறுப்புக்குறைவு.,16, [ angkakīṉam ]
அங்கசங்கம்,புணர்ச்சி.,16, [ angkacangkam ]
அங்கசவேள்,மன்மதன்.,16, [ angkacavēḷ ]
அங்கசாதனம்,ஒருகுறி.,16, [ angkacātaṉam ]
அங்கசாரி,சிவன்.,16, [ angkacāri ]
அங்கசிவயோகம்,அஷ்டாங்கசிவயோகம்.,16, [ angkacivayōkam ]
அங்கசை,மகள்.,16, [ angkacai ]
