worship with sacred fire on an altar,  யாகம், 
one of the five items of pacakam,  யோகம், 
vitkampam,  யோகம், 
piriti,  யோகம், 
ayusman,  யோகம், 
caupakkiyam,  யோகம், 
cpanam,  யோகம், 
atikantam,  யோகம், 
cukarmam,  யோகம், 
tiruti,  யோகம், 
culam,  யோகம், 
virutti,  யோகம், 
auspicious or inauspicious conjunction of week days with lunar asterisms,  யோகம், 
amirtaykam,  யோகம், 
citta ykam,  யோகம், 
amirta citta ykam,  யோகம், 
utpata ykam,  யோகம், 
marana ykam,  யோகம், 
activity relating to mind,  யோகம், 
body and word,  யோகம், 
concentration of the mind in the contemlation of the supreme spirit,  யோகம், 
second of the four parts of each sivaiamam,  யோகம், 
a tantric work dealing with the worship of sakti,  யோகயாமளம், 
yogic system,  யோகமார்க்கம், 
yogis,  யோகர், 
followers of the yoga system,  யோகர், 
jaina saints,  யோகர், 
word having an etymological as well as a special or conventional meaning,  யோகரூடி, 
as pakaja,  யோகரூடி, 
word having at etymoloyogical as well as a special or conventional meaning as pankaja,  யோகரூடி, 
separation of that which is usually combined together,  யோகவிபாகம், 
especially the separation of the words of a sutra,  யோகவிபாகம், 
splitting one rule into two or more,  யோகவிபாகம், 
especially the seperation of the words of a sutra splitting one rule into two or more,  யோகவிபாகம், 
upper cloth worn across the chest,  யோகவேட்டி, 
passing over the left shoulder,  யோகவேட்டி, 
and under the right,  யோகவேட்டி, 
lustre attained through yogic practice,  யோகாக்கினி, 
blaze of fire,  யோகாக்கினி, 
excessive heat or fire glowing in the eyes of a yogi because of continued meditation,  யோகாக்கினி, 
excessive heat of fire glowing in the eyes of a yogi because of continued meditation,  யோகாக்கினி, 
a system of integrating the mind and body movements through exercise and meditation,  யோகாசனம், 
mode of sitting,  யோகாசனம், 
suited to profound and abstract meditation,  யோகாசனம், 
sitting on the hams,  யோகாசனம், 
one of paca v atanam,  யோகாசனம், 
practice and observance of yoga,  யோகாசாரம், 
a buddhist school which maintains that the intelligence or vijana alone eternally exists,  யோகாசாரம், 
a buddhist school which maintains that the intelligence or alone externally exists,  யோகாசாரம், 
teacher of the yoga system of philosophy,  யோகாசாரியன், 
ability or fitness to undertake the practice of yoga,  யோகாதிகாரம், 
etymological meaning,  யோகார்த்தம், 
an ascetic,  யோகி, 
abductor muscle,  வெளிவாங்கித்தசை, உள்ளிழுப்புத் தசை, யோகி, 
adopt in yogic practices,  யோகி, 
a class of north indian mendicants,  யோகிப்பரதேசி, 
as practicing yoga na,  யோகிப்பரதேசி, 
ascetic pilgrim from north india mendicants,  யோகிப்பரதேசி, 
as practicing yoga,  யோகிப்பரதேசி, 
female magician,  யோகினி, 
sorceress,  யோகினி, 
a class of female attendants on durga,  யோகினி, 
fairy,  யோகினி/ கான் தெய்வம்/ கானத்தெய்வம், 
durga who,  யோகினி, 
on each titi of the waning and waxing moon,  யோகினி, 
appears in a particular direction and causes harm to those who start their journey in that direction,  யோகினி, 
witch sorcesess,  யோகினி, 
on earth titi of the waring and waxing moon appears in a particular direction and causes harm to those who start their journey in that direction,  யோகினி, 
direction of the ykini,  யோகினிதிசை, 
direction of the,  யோகினிதிசை, 
adept in yoga,  யோகீசுவரன், 
a linear measurefour kurcam,  யோசனை, 
disoretion,  யோசனை, 
prudence wisdom,  யோசனை, 
a linear measure four,  யோசனை, 
thoughtful man,  யோசனைக்காரன், 
politic man,  யோசனைசாலி, 
polite man,  யோசனைசாலி, 
astrology prognostication,  யோசியம், 
cord used to yoke cattle,  யோத்திரம், 
