need,  மேற்கருமம், அக்கரை/ கவை// செலவு/ வேண்டற்பாடு/ குறைபாடு, அக்கறை, அவசியம்: முட்டுப்பாடு, தேவை/ வேண்டுபொருள், 
interest,  அவா/ வட்டி கட்டுவிப்பு ஆணை// சும, பற்று/ வரம்பு/ வட்டிக் கணக்கு; நேரிய வட்டி, தனிவட்டி/ வட்டியோடு கூடிய/ வட்டி பெறும், அரையாண்டு வட்டி, அக்கறை// சேர்ந்தடை உரிமை; நலம்/ வியப்பு/ வட்டிவாசி; நிகழ்வடையுரிமை/ விருப்பம்/ வட்டிச் சீட்டு, ஈர்ப்பு, பொலிசை; நயம், ஆர்வம்/ கவை, பாங்கு, அக்குசு, ஆணை/ கவலை// செயல் மற்றும் மனநிறைவு, தன்னல ஆர்வம்/ வட்டி;- இருத்தி, ஈட்டிய வட்டி, அபிமானம், தனி வட்டி, அக்கரை// சுரத்து, ஆண்டு வட்டி, அவா மற்றும் செயல்; நலன்// சோந்தை, ஈடுபாடு, பலிசை/ கூட்டு வட்டி/ கரிசனம்/ கவனம், பயனீட்டு அணுகுமுறை, 
country on the opposite shore,  அக்கரைச்சீமை, 
illusion that causes a person on one bank believe that the vegetation on the other bank is greener or more fertile,  அக்கரைப்பச்சை, 
heavenly beings,  ஆன்றவர், அக்கரையர், 
as inhabiting the regions beyond the ocean of samsara,  அக்கரையர், 
as inhabiting the regions beyond the ocean of worldly life,  அக்கரையர், 
one who lives on the further shore,  அக்கரையான், 
one who lives on the farther shore,  அக்கரையான், 
overseas bank,  அக்கரைவைப்பகம், அயலக வங்கி/ வெளிநாட்டு வங்கி, அக்கரை வைப்பகம், 
black catechu,  இருள்மூலி, துவர்க்காம்பு, அக்கலாட்டி/ காய்ச்சுண்டி, அரி/ கோடகம், பரிவாட்டி, 
catechu nigrum,  அக்கலாட்டி, 
string of rudraksha beads,  அக்கவடம், 
cows thorn,  யானைக்கால்வணக்கிப்பூடு, பாசாடினபேதி; நல்நெருஞ்சி, ஞாயிறு திரும்பி, அசசரம், அக்கவாலதி: முக்கண்டகம்; நெருஞ்சி, 
a small prostrate herb,  கோகண்டம்/ காமரசி; நல்நெருஞ்சி, அக்கவாலதி;- இங்குசக்கண்டன்; நெருஞ்சி, 
tribulus terrestris,  அசசுரம், அரத்தச்சேமி, அக்கவாலதி, அடியோட்டி; நெருஞ்சி, 
inflammation of bone,  அக்கழற்சி, 
osteitis,  எலும்பழற்சி, அக்கழற்சி, 
death or decay of bone,  அக்கழிவு, 
osteolysis or osteonecrosis,  அக்கழிவு, 
the size of a bone,  அக்களவு, 
a liquid salt said to be obtained from the soil of fullers earth during the dewy season,  அக்களவு, 
exultation,  ஆர்ப்பு/ களிமகிழ்ச்சி;- இறுமாப்பு: மதம்/ குலா, பொங்கம்/ களி/ கெம்பளிப்பு, பேருவகை, அகக்களிப்பு, அக்களிப்பு/ களிப்பு// செருக்கு: மனவெழுச்சி// செம்மாப்பு, பொம்மல், பூரிதம், பருமிதம், பாடவம், 
red millet,  அக்கறக்கி: மயிலைச்சென்னை, அயகத்தினை; நயச்சென்னை: மதிபதி, ஏனல்// செந்தினை, அனிச்சம்/ கவலிகா, 
setaria italica,  அக்கறக்கி/ கொரலி// செந்தினை, அச்சித்தினை, 
chebulic myrobalan,  அனந்தை, அமுகம்// சாமுதம்/ வன்காய்// சிதேகி, அரபி, பிரதமை, அரந்தம்/ வயதரம், தாதுவைரி, அரிதகி// சயா, அமோகை, அங்கனம், யமற்கேளம்: மேகம், ஐயவி, அமுதவி, அபானம், அடையன், அரிசி, அத்தன், அமுதை, அங்கணம், அம்மை, அரத்தம்// சேயா/ வன்னிக்காய், அந்தன்/ வரித்தா, அமரிதம்// சிற்றிலை/ கடுமரம், அரமி, அமலை/ வேதன், அலியன், அக்கறந்தான்/ கடுக்காய்/ கடு// சேதனகி: மலத்தையறுப்போன், அறைத்தி, 
bill-hook for lopping thorns and prickly pear,  அக்கறுவாள், 
