disturbance trouble,  சல்லியம், 
art of divining things underground,  சல்லியம், 
a caste of magicians,  சல்லியர், 
the men who knows the art of diving things underground,  சல்லியர், 
a king of the madra country,  சல்லியன், 
maternal uncle of nakula and sahadeva,  சல்லியன், 
the planet sukra,  சிதன்// சல்லியன், 
a demoness,  சக்கம்மா// சக்கம்மாள்// சல்லியாதேவி, 
white sirrisa albizzia procera,  சல்லியூஞ்சல், 
gerres lucidas,  சல்லியூடகம், 
cracks found in dried logs,  சல்லிவெடிப்பு, 
tertiary root,  சல்லிவேர், 
seminal root,  சல்லிவேர்/ விதை வேர், 
adventitious root,  வேற்றிடவேர்/ வேற்றிட வேர்கள்// சல்லிவேர்த் தொகுப்பு/ வீழி// சல்லிவேர்/ கிளைவேர்/ விழுதுகள், 
fibrous root,  நார்-வேர்// சிம்புவேர்/ வேரிழை// சல்லிவேர், 
rootlets,  சல்லிவேர், 
rootlet,  சல்லிவேர்// சிறுவேர்/ வெள்ளிவேர், 
opp to ani ver,  சல்லிவேர், 
root let,  சல்லிவேர், 
to sprinkle water,  சல்லு, 
name of a place in v laikurichi in tirumayam,  சல்லூர், 
pain while passing urine,  சலக்கடுப்பு, 
danger or accident from water,  சலக்கண்டம், 
as inundation,  சலக்கண்டம், 
drowning,  நீரில்அமிழ்தல்: மூழ்குதல், தண்ணீரில் அமிழ்தல்; நீரில் மூழ்குதல்// சலக்கண்டம், 
profuseness of perspiration,  சலக்கண்டம், 
coarse red ochre,  சலக்கந்தி, 
bath-room,  சலக்கப்புரை, 
latine,  சலக்கமனை, 
urinary salt,  சலக்கூர்மை, 
onom expr signifying the falling sound of pearls,  சலக்கெனல், 
onom expr signifying tintling sound of bells of anket,  சலக்கெனல், 
gelded boar,  சலகன்பன்றி, 
horse that can go on water,  சலகாமி, 
opp to pu kami,  சலகாமி, 
opp to p-kmi,  சலகாமி, 
hydrogen,  நீரகம், ஹைட்ரஜன், ஹைடிரஜன்// சலகாரம்; நீரியம்; நீர்வளி; நீரசம், 
castration,  விதையடித்தல் காயடித்தல், பூவிழை நீக்கம், ஆண்குறியிழப்பு அச்சம்/ விரைநீக்கம்/ விரையடி;- இனச்செல் சிதைவு, பாலணுச் சிதைவு/ விதையடித்தல், ஆண்மை நீக்கம்: மலடாக்கல்/ காயடித்தல்/ விதையடிப்பு// சலகு// சலவை;- இனப்பெருக்க ஆற்றலழிப்பு, ஆண்விதை நீக்கல், 
gelding,  சலகு, 
military drill,  சலகு, 
a grain measure poti or a bullock load to measures,  சலகை, 
land sufficient in extent for sowing one calakai of paddy,  சலகை, 
publicity,  வெளியரங்கம்/ வெள்ளடி/ வெளிச்சம், பொது விளம்பரம், பகிரங்கம், பிரக்கியாதி, பரப்புரை/ விளம்பரம்/ வெட்டவெளியாக, புகழ், பிரசித்தம்// சலகை/ வெளிப்படை/ வெளிகொடுவெளியே, துலாம்பரம்/ வெளி, 
land sufficient in extent for sowing one salagai of paddy,  சலகை, 
beat lit,  சலகை, 
that which goes on water,  சலகை, 
a kind of gnat infesting water,  சலகொதுகு, 
prussicacid tree see,  சலங்கல்லுமா, 
prussicacid tree,  பலாங்காட்சி// சலங்கல்லுமா, 
coasting vessel,  சலங்கு, 
boat used for pearl-fishing,  சலங்கு, 
pearl driver,  சலங்குக்காரன், 
pearl-diver,  சலங்குக்காரன்: முத்துக்குளிப்பாளி, 
jhunjuna,  சலங்கை, 
strip of s,  சலங்கை, 
tiny bells attached to,  சலங்கை, 
or used as,  சலங்கை, 
ornaments see,  சலங்கை, 
boiling of water or liquid food characterised by bubbling,  சலங்கைக்கொதி// சதங்கைக்கொதி, 
a kind of rock,  சலங்கைப்பார், பாக்குக்கல், 
bell belt,  சலங்கைமணி, 
a ring worn on the second toe by women,  சலங்கைமுன்தாங்கி, 
one of ai-variam,  சலங்கைமுன்தாங்கி, 
suppuration,  சீழ்வைத்தல்// சீழ்பிடித்த, பூயம்// சீழ்ப்பிடிப்பு சீழ் உருவாதல்// சலங்கோத்தல், 
wishy washy talk,  சலசண்டி/ வழவழவெனல், 
that which is born in water,  சலசம், 
green moss,  சலசம், 
bed of water,  சலசயனம், 
as of visnu,  சலசயனம், 
as of tirum,  சலசயனம், 
as creeping in water,  சலசர்ப்பிணி, 
leech as creeping in water,  சலசர்ப்பிணி, 
cause a sti,  சலசல, 
onom expr of purling,  சலசல, 
expr signifying rustle,  சலசல, 
to be talking incessantly,  சலசல, 
ripple of,  சலசலப்பு, 
verbal t,  சலசலப்பு, 
the wash of flowing water,  சலசலப்பு, 
as of dried leaves,  சலசலெனல், 
as of dizzling rain,  சலசலெனல், 
sounding as of drizzling rain,  சலசலெனல், 
aquatic creatures,  நீர்வாழ்வன// சலசாதி; நீர்வாழுஞ்சாதி, 
aquatic creature,  சலசாதி, 
water pump,  நீரெஃகி// சலசூத்திரம்; நீர் இறைப்பி, 
hydraulic lift,  சலசூத்திரம்; நீரியல் தூக்கி; நீரியல் உயர்த்தி; நீர்மப் பளுதூக்கி, 
water-pump,  சலசூத்திரம், 
a fabulous conch said to be surrounded by valampuri conches,  சலஞ்சலம், 
cubcb pepper,  சலணி, 
art of counteracting the natural properties of water by magic,  சலத்தம்பனம், 
one of arupattunalukalai,  சலத்தம்பனம், 
one of arubattunangu-kalai,  சலத்தம்பனம், 
umbrella of palmyra leaves,  சலத்திரம், 
urinary passage,  சலத்துளை// சலத்துவாரம், 
discomfort due to urgent need to make water or void excrement,  சலபாதை// சலத்தொல்லை, 
musical cups containing varying quantities of water,  சலதரங்கம், 
and played with sticks,  சலதரங்கம், 
musical cups containing varying quantities of water and played with sticks,  சலதரங்கம், 
that which holds water cloud,  சலதரம், 
cloud lit,  சலதரம், 
that which holds water,  சலதரம், 
pipal see,  சலதளம், 
as having the ganges in his locks,  சலதாரி, 
drainage pipe,  வடிகால் குழாய்// சலதாரை, 
addle,  சலதி; நீர்க்கசடு// சேறு, 
an asura slain by siva,  சலந்தரன், 
an asura slained by sivan,  சலந்தரன், 
a manifestation of sivan,  சலந்தராரி, அத்தநாரீசுரன், 
a primary taga,  சலநாட, 
an evil spirit which causes its victim to bathe frequently,  சலப்பிசாசு, 
person possessed by cala picacu,  சலப்பிசாசு, 
an evil spirit which causes its viction to bathe frequently,  சலப்பேய், 
person possessed by sala-p-pey,  சலப்பேய், 
urinary bl,  சலப்பை, 
the urinary bladder,  சலப்பை, 
as sea god,  சலபதி, 
as causing dread of water,  சலவச்சநோய்// சலபயரோகம், 
moving target for an arrow,  சலம், 
revolution,  புரட்சி/ வட்டம்// சலம்// சுழற்சி// சுற்று, பொங்கி எழு// சுற்றுதல்// சுழல்வு, 
as of a wheel,  சலம், 
the category of movables,  சலம், 
cherished anger,  சலம், 
criticism by preverting the sense of a word,  சலம், 
ascribing to it a sense not intended by the speaker,  சலம், 
one of the sicteen catergories of indian logic,  சலம், 
urinc,  சலம், 
trembling quivering,  சலம், 
revolution as of a wheel,  சலம், 
the category of movables i,  சலம், 
deception trickery,  சலம், 
criticism by perverting the sense of a word,  சலம், 
one of the sixteen categories of indian logic,  சலம், 
competition rivalry,  சலம், 
fencing see,  சலம்பம், 
a vulgar chatterer,  சலம்பல், 
strangury see,  சலமடைப்பு, 
tarantula,  புலிமுகச்சிலந்தி, பெருமயிர்ச் சிலந்தி புலிமுகச் சிலந்தி// சலமண்டலம், 
a large spider,  சலமண்டலம், 
poecilotheria formosa,  சலமண்டலம், 
alarge spider,  சலமண்டலம், 
urinary and excrement,  சலமலம், 
lutra,  சலமார்ச்சாரம், 
idol on a temple intended for procession see,  சலமூர்த்தி, 
idol in a temple intended for procession,  சலமூர்த்தி, 
signs of the zodiac as katakam,  சலராசி, 
minam,  சலராசி, 
as connected with water,  சலராசி, 
signs of the zodiac as kadagam,  சலராசி, 
